source	target	value
Princess Yue / Moon Spirit	Sokka	1.0
Fire Nation Fighter #1	Everyone	1.0
First Beetle Merchant	All	1.0
Fire Nation Soldier	Chan	1.0
Fire Nation Soldier	Chan	1.0
Water Tribe Warrior	Sokka	1.0
Elite Firebender #1	Lee	1.0
Elite Firebender #2	Captain	1.0
Scared Dai Li Agent	Azula	1.0
Water Tribe Soldier	Hakoda	1.0
Fire Nation Officer	All	1.0
Fire Nation Officer	Chan	1.0
Fire Nation Officer	Commander	1.0
Traveling Townsman	Man	1.0
Fire Nation Teen 2	Lee	1.0
Palanquin Servant	Zuko	1.0
Resistance Leader	Bumi	2.0
Sun Warrior Chief	Aang	1.0
Sun Warrior Chief	Chief	1.0
Sun Warrior Chief	Iroh	1.0
Sun Warrior Chief	Man	1.0
Sun Warrior Chief	Zuko	1.0
School Headmaster	Hide	1.0
Fire Nation Sage	Roku	1.0
Fire Nation Sage	Sozin	1.0
Sokka (from o.c.	Aang	1.0
Avatar Yangchen	Aang	1.0
Governor's Wife	Mai	1.0
Audience Member	Teo	1.0
Woman in Green	Meng	1.0
Lieutenant Jee	General	1.0
Lieutenant Jee	Iroh	1.0
Lieutenant Jee	Zuko	2.0
Actress Katara	Aang	1.0
Actress Katara	Jet	1.0
Actress Katara	Sokka	1.0
Actress Katara	Zuko	1.0
Fire Lord Ozai	Aang	1.0
Fire Lord Ozai	Azula	4.0
Fire Lord Ozai	Azulon	1.0
Fire Lord Ozai	General	1.0
Fire Lord Ozai	Iroh	1.0
Fire Lord Ozai	Mother	3.0
Fire Lord Ozai	Ozai	1.0
Fire Lord Ozai	Sozin	2.0
Fire Lord Ozai	Zuko	5.0
Gan Jin Leader	Jin	6.0
Gan Jin Leader	Katara	2.0
Actress Azula	Zuko	1.0
Colonel Shinu	Commander	2.0
Colonel Shinu	Yu	1.0
Colonel Shinu	Zhao	1.0
Mrs. Bei Fong	Aang	1.0
Mrs. Bei Fong	Toph	2.0
3rd Mean Girl	Star	1.0
Engine Master	Zuko	1.0
Elder Monk #4	Aang	1.0
Storyboard By	Jin	5.0
Storyboard By	Li	2.0
Storyboard By	Yu	6.0
Professor Zei	All	1.0
Avatar Kyoshi	Aang	1.0
Customs Lady	Lee	1.0
Zhang Leader	Jin	16.0
Female Guard	Guard	1.0
Female Guard	Warden	1.0
Actress Aang	Jet	1.0
Actress Aang	Momo	1.0
Actress Aang	Toph	1.0
Master Pakku	Aang	2.0
Master Pakku	Bumi	1.0
Master Pakku	General	1.0
Master Pakku	Katara	4.0
Master Pakku	Sokka	1.0
Master Pakku	Yugoda	1.0
General Fong	Aang	5.0
General Fong	Appa	1.0
General Fong	General	1.0
General Fong	Katara	1.0
General Fong	Momo	1.0
General Fong	Sokka	1.0
Princess Yue	Appa	1.0
Princess Yue	Sokka	4.0
Princess Yue	Yue	1.0
Princess Yue	Zuko	1.0
Dai Li Agent	Li	2.0
Canyon Guide	All	2.0
Chief Arnook	Aang	1.0
Chief Arnook	Hahn	3.0
Chief Arnook	Pakku	3.0
Chief Arnook	Sokka	5.0
Chief Arnook	Yue	3.0
Avatar Kuruk	Aang	1.0
Avatar Kuruk	Koh	1.0
Actor Uncle	Zuko	2.0
Shop Keeper	Piandao	1.0
General How	All	1.0
General How	General	1.0
General How	Li	1.0
Li &amp; Lo	Azula	1.0
Many Voices	Aang	1.0
Blue Dragon	Zuko	2.0
Bully Guard	Warden	2.0
Avatar Roku	Aang	4.0
Avatar Roku	All	1.0
Avatar Roku	Koh	1.0
Avatar Roku	Sozin	2.0
Guru Pathik	Aang	5.0
Guru Pathik	Guru	1.0
Guru Pathik	Gyatso	1.0
Warden Poon	Ming	1.0
1st Servant	Zuko	1.0
Little Girl	Aang	1.0
Actor Sokka	Aang	1.0
Actor Sokka	All	1.0
Actor Sokka	Toph	1.0
Actor Sokka	Yue	1.0
Koala Sheep	Appa	3.0
Koala Sheep	Momo	3.0
Monk Gyatso	Aang	6.0
Monk Gyatso	All	1.0
Jeong Jeong	Roku	1.0
Jeong Jeong	Zhao	1.0
Actress Yue	Sokka	1.0
Shop Keeper	Piandao	1.0
Smellerbee	Appa	1.0
Smellerbee	Jet	9.0
Smellerbee	Li	2.0
Smellerbee	Longshot	1.0
Bureaucrat	Security	1.0
Little Boy	Zuko	1.0
Red Dragon	Zuko	1.0
Actor Ozai	Zuko	1.0
Written By	Chan	1.0
Actor Zuko	Aang	1.0
Actor Zuko	Azula	1.0
Male Guard	Warden	1.0
Earth King	Aang	2.0
Earth King	All	1.0
Earth King	General	1.0
Earth King	Katara	1.0
Earth King	Li	2.0
Earth King	Sokka	2.0
Earth King	Toph	1.0
Written By	Chan	1.0
Actor Toph	Toph	1.0
Mayor Tong	Aang	1.0
Mayor Tong	Everyone	1.0
Long Feng	All	2.0
Long Feng	Azula	1.0
Long Feng	Jet	2.0
Long Feng	Li	3.0
Old Woman	Hama	1.0
Messenger	Bato	1.0
Messenger	Zuko	1.0
Actor Jet	Jet	1.0
Gran Gran	Aang	1.0
Gran Gran	All	1.0
Gran Gran	Katara	5.0
Gran Gran	Sokka	1.0
Master Yu	Toph	1.0
Li and Lo	Azula	3.0
Li and Lo	Zuko	2.0
Young Boy	Aang	2.0
Student 1	Boulder	1.0
King Bumi	Aang	7.0
King Bumi	Momo	2.0
King Bumi	Ozai	1.0
Pipsqueak	Aang	1.0
Pipsqueak	Duke	1.0
Pipsqueak	Jet	1.0
Pipsqueak	Sokka	1.0
Chit Sang	Warden	2.0
Older Boy	Man	1.0
Zookeeper	Li	1.0
Fire Sage	All	1.0
Fire Sage	Azula	1.0
Fire Sage	Azulon	1.0
Fire Sage	Commander	2.0
Fire Sage	Iroh	1.0
Fire Sage	Ozai	3.0
Fire Sage	Roku	3.0
