target	value
Ozai	1.0
Katara	1.0
Aang	1.0
Appa	8.0
Katara	5.0
All	1.0
Sokka	2.0
Appa	4.0
All	1.0
Katara	4.0
Gyatso	3.0
Roku	2.0
Sokka	6.0
Momo	1.0
Aang	1.0
Appa	2.0
All	1.0
Katara	6.0
Koko	1.0
Sokka	3.0
Momo	1.0
Aang	1.0
Appa	4.0
Sokka	1.0
Bumi	4.0
Momo	2.0
Katara	1.0
Appa	3.0
Katara	1.0
Sokka	1.0
Warden	1.0
Appa	1.0
All	1.0
Katara	5.0
Gyatso	1.0
Roku	10.0
Sokka	7.0
Aang	1.0
Appa	2.0
All	1.0
Katara	1.0
Shyu	2.0
Roku	5.0
Sokka	2.0
Appa	3.0
Captain	1.0
Katara	8.0
Roku	1.0
Momo	1.0
Sokka	3.0
Aang	1.0
Appa	2.0
Sokka	10.0
All	1.0
Momo	2.0
Jet	4.0
Duke	1.0
All	1.0
Everyone	2.0
Katara	2.0
Jin	7.0
Sokka	2.0
Momo	2.0
Appa	3.0
Katara	2.0
All	1.0
Sokka	1.0
Appa	1.0
Gyatso	2.0
Sokka	3.0
Katara	4.0
Aang	1.0
Sokka	5.0
Everyone	1.0
Zuko	2.0
Bato	2.0
Katara	3.0
Momo	1.0
Sokka	1.0
Aang	1.0
All	1.0
Zuko	1.0
Katara	2.0
Zhao	1.0
Sokka	1.0
Appa	2.0
Man	1.0
Teo	1.0
Katara	6.0
Pakku	2.0
Pakku	1.0
Yue	1.0
Appa	1.0
Roku	2.0
Zhao	1.0
Momo	2.0
Appa	1.0
Koh	1.0
Katara	2.0
Sokka	2.0
Appa	1.0
General	1.0
Katara	1.0
Moku	1.0
Sokka	2.0
Appa	2.0
Bumi	11.0
Momo	2.0
Governor	1.0
Sokka	1.0
Bumi	1.0
Momo	3.0
Katara	1.0
Appa	5.0
Sokka	2.0
Bumi	1.0
Sokka	1.0
Toph	3.0
Everyone	1.0
Zuko	1.0
Katara	1.0
Sokka	2.0
Toph	1.0
Appa	9.0
Katara	4.0
Everyone	1.0
Sokka	5.0
Appa	2.0
Toph	1.0
Katara	2.0
Sokka	2.0
Appa	1.0
Toph	2.0
Momo	1.0
Appa	12.0
Katara	4.0
Momo	2.0
Appa	6.0
Momo	3.0
Everyone	1.0
Sokka	1.0
General	1.0
Toph	1.0
Katara	2.0
Momo	2.0
Sokka	1.0
Appa	1.0
Toph	2.0
Zookeeper	1.0
Appa	3.0
Jet	4.0
Katara	2.0
Momo	1.0
Sokka	1.0
Aang	1.0
Appa	11.0
Katara	2.0
Guru	1.0
Appa	4.0
Li	1.0
Katara	4.0
Appa	1.0
Guru	1.0
All	1.0
Zuko	1.0
Azula	2.0
Guru	2.0
Katara	5.0
Momo	1.0
Toph	1.0
Katara	1.0
Roku	1.0
Chief	1.0
Sokka	1.0
Momo	1.0
Hakoda	1.0
Sozin	1.0
Ozai	1.0
Sokka	1.0
Momo	1.0
All	1.0
Katara	3.0
Sokka	1.0
Aang	1.0
Momo	2.0
Appa	1.0
Katara	1.0
Sokka	3.0
Piandao	1.0
Momo	1.0
Toph	1.0
Appa	1.0
Sozin	2.0
Roku	8.0
Everyone	1.0
Gyatso	1.0
Katara	2.0
Man	1.0
Sokka	3.0
Toph	4.0
All	1.0
Hama	1.0
Man	1.0
Ozai	3.0
All	1.0
Katara	4.0
Sokka	4.0
Toph	2.0
Momo	5.0
Aang	1.0
Appa	2.0
Ozai	1.0
Azula	1.0
Katara	1.0
Sokka	1.0
Momo	1.0
Haru	1.0
Sokka	1.0
Zuko	4.0
Katara	2.0
Zhao	2.0
Sokka	1.0
Toph	2.0
Appa	1.0
All	1.0
Zuko	9.0
Roku	1.0
Chief	1.0
Toph	1.0
Appa	1.0
Zuko	3.0
Jet	1.0
Katara	3.0
Momo	1.0
Sokka	1.0
Appa	3.0
Katara	1.0
Sokka	1.0
Ozai	1.0
Sozin	1.0
Katara	2.0
Momo	2.0
Sokka	1.0
Appa	1.0
Roku	3.0
All	1.0
Everyone	2.0
Momo	3.0
Momo	1.0
