target	value
Katara	1.0
Mai	1.0
Haru	1.0
Tyro	1.0
Zhao	4.0
Captain	1.0
Commander	2.0
Iroh	2.0
Zhao	4.0
Commander	1.0
Zhao	2.0
Azula	1.0
Lee	1.0
Ozai	1.0
Lee	1.0
Azula	6.0
Girls	1.0
Ursa	1.0
Zuko	1.0
Azula	1.0
All	1.0
Azula	2.0
Lee	1.0
Azula	2.0
Azula	1.0
Mai	1.0
Everyone	1.0
Lee	1.0
Azula	1.0
Sozin	1.0
Mai	1.0
Mai	1.0
Iroh	1.0
Azula	1.0
All	2.0
Zuko	2.0
Azula	1.0
Sozin	1.0
Iroh	1.0
Zuko	1.0
Mai	2.0
Everyone	1.0
Sokka	4.0
Appa	1.0
Mai	3.0
Warden	1.0
All	1.0
Everyone	1.0
Katara	3.0
Sokka	3.0
Mother	3.0
Aang	1.0
Jet	1.0
Mother	1.0
Sozin	1.0
June	1.0
Aang	7.0
Sokka	1.0
Katara	1.0
Azula	2.0
Aang	1.0
