source	target	value
Aang	Aang	10.0
Aang	All	15.0
Aang	Appa	105.0
Aang	Azula	3.0
Aang	Bato	2.0
Aang	Bumi	17.0
Aang	Captain	1.0
Aang	Chief	2.0
Aang	Duke	1.0
Aang	Everyone	9.0
Aang	General	2.0
Aang	Governor	1.0
Aang	Guru	4.0
Aang	Gyatso	7.0
Aang	Hakoda	1.0
Aang	Hama	1.0
Aang	Haru	1.0
Aang	Jet	9.0
Aang	Jin	7.0
Aang	Katara	101.0
Aang	Koh	1.0
Aang	Koko	1.0
Aang	Li	1.0
Aang	Man	3.0
Aang	Moku	1.0
Aang	Momo	45.0
Aang	Ozai	7.0
Aang	Pakku	3.0
Aang	Piandao	1.0
Aang	Roku	33.0
Aang	Shyu	2.0
Aang	Sokka	87.0
Aang	Sozin	4.0
Aang	Teo	1.0
Aang	Toph	21.0
Aang	Warden	1.0
Aang	Yue	1.0
Aang	Zhao	4.0
Aang	Zookeeper	1.0
Aang	Zuko	21.0
