source	target	value
Katara	Aang	215.0
Katara	All	5.0
Katara	Appa	28.0
Katara	Azula	3.0
Katara	Bato	3.0
Katara	Both	3.0
Katara	Boulder	2.0
Katara	Bumi	4.0
Katara	Dock	1.0
Katara	Everyone	8.0
Katara	General	2.0
Katara	Guru	1.0
Katara	Gyatso	2.0
Katara	Hakoda	1.0
Katara	Hama	2.0
Katara	Haru	11.0
Katara	Iroh	1.0
Katara	Jet	15.0
Katara	Jin	1.0
Katara	June	1.0
Katara	Katara	4.0
Katara	Koko	1.0
Katara	Lee	1.0
Katara	Li	4.0
Katara	Mayor	1.0
Katara	Meng	1.0
Katara	Moku	1.0
Katara	Momo	17.0
Katara	Mother	1.0
Katara	Oyagi	1.0
Katara	Pakku	5.0
Katara	Roku	4.0
Katara	Sokka	108.0
Katara	Sozin	2.0
Katara	Suki	2.0
Katara	Teo	1.0
Katara	Toph	26.0
Katara	Ying	1.0
Katara	Yu	1.0
Katara	Zhao	1.0
Katara	Zuko	19.0
