source	target	value
Sokka	Aang	95.0
Sokka	All	11.0
Sokka	Appa	33.0
Sokka	Azula	3.0
Sokka	Bato	4.0
Sokka	Boulder	3.0
Sokka	Boy	3.0
Sokka	Bumi	3.0
Sokka	Captain	1.0
Sokka	Chong	1.0
Sokka	Dock	2.0
Sokka	Duke	1.0
Sokka	Everyone	6.0
Sokka	Gang	1.0
Sokka	General	1.0
Sokka	Guru	2.0
Sokka	Gyatso	1.0
Sokka	Hahn	1.0
Sokka	Hama	3.0
Sokka	Haru	3.0
Sokka	Headmaster	1.0
Sokka	Hue	1.0
Sokka	Iroh	1.0
Sokka	Jet	8.0
Sokka	Jin	4.0
Sokka	Katara	69.0
Sokka	Lee	2.0
Sokka	Li	4.0
Sokka	Man	7.0
Sokka	Moku	1.0
Sokka	Momo	17.0
Sokka	Mother	1.0
Sokka	Ozai	1.0
Sokka	Pakku	1.0
Sokka	Pao	1.0
Sokka	Piandao	1.0
Sokka	Pipsqueak	1.0
Sokka	Roku	1.0
Sokka	Shyu	1.0
Sokka	Sokka	14.0
Sokka	Sozin	1.0
Sokka	Suki	26.0
Sokka	Toph	24.0
Sokka	Warden	5.0
Sokka	Yue	8.0
Sokka	Zhao	2.0
Sokka	Zuko	22.0
