target	value
Momo	1.0
Sokka	1.0
Aang	12.0
Sokka	3.0
Everyone	1.0
Aang	16.0
Sokka	9.0
Appa	3.0
All	1.0
Aang	10.0
Sokka	1.0
Gyatso	1.0
All	1.0
Aang	5.0
Zuko	3.0
Appa	1.0
Bumi	1.0
Aang	4.0
June	1.0
Katara	1.0
Haru	10.0
Aang	2.0
All	1.0
Aang	9.0
Sokka	6.0
Appa	2.0
Roku	2.0
Aang	8.0
Sokka	3.0
Zuko	1.0
Appa	1.0
Katara	1.0
Momo	3.0
Aang	11.0
Sokka	1.0
All	1.0
Aang	3.0
Sokka	9.0
Jet	10.0
Appa	1.0
Jin	1.0
Aang	2.0
Sokka	4.0
Everyone	1.0
Aang	8.0
Sokka	1.0
Appa	1.0
Momo	4.0
Aang	3.0
Sokka	1.0
Momo	1.0
Aang	4.0
Sokka	4.0
Meng	1.0
Bato	3.0
Everyone	1.0
Sokka	2.0
Aang	4.0
Zuko	1.0
Zhao	1.0
Aang	6.0
All	1.0
Aang	4.0
Sokka	3.0
Teo	1.0
Pakku	2.0
Aang	2.0
Sokka	1.0
Everyone	1.0
Aang	4.0
Sokka	1.0
Aang	3.0
Momo	2.0
Zuko	1.0
Katara	1.0
Pakku	1.0
Aang	6.0
Gyatso	1.0
Both	1.0
Everyone	1.0
Moku	1.0
Bumi	1.0
Sokka	3.0
Aang	3.0
Appa	1.0
Bumi	2.0
Aang	2.0
Momo	1.0
Aang	2.0
Sokka	2.0
Appa	1.0
Koko	1.0
Sokka	1.0
Aang	6.0
Oyagi	1.0
Mayor	1.0
Boulder	2.0
Aang	2.0
Yu	1.0
Toph	1.0
Both	1.0
Zuko	2.0
Sokka	1.0
Toph	6.0
Momo	1.0
Appa	3.0
Katara	1.0
Aang	5.0
Sokka	1.0
Toph	1.0
Aang	1.0
Sokka	5.0
Everyone	1.0
Aang	9.0
Sokka	5.0
Toph	3.0
Suki	1.0
Everyone	1.0
Ying	1.0
Sokka	4.0
Toph	1.0
Aang	4.0
Appa	4.0
Aang	2.0
Sokka	1.0
Lee	1.0
Appa	1.0
Toph	1.0
Aang	1.0
Appa	1.0
Toph	3.0
Aang	2.0
Sokka	1.0
Appa	1.0
Jet	4.0
Li	2.0
Hakoda	1.0
Guru	1.0
Sokka	3.0
Aang	3.0
Li	2.0
Suki	1.0
Momo	2.0
Zuko	1.0
General	1.0
Aang	3.0
Sokka	1.0
Zuko	1.0
Toph	1.0
Aang	5.0
Sokka	1.0
Aang	3.0
Sokka	2.0
Dock	1.0
Aang	1.0
Sokka	6.0
Appa	2.0
Pakku	1.0
Momo	1.0
Everyone	1.0
Sokka	1.0
Appa	1.0
Sozin	2.0
Roku	2.0
Sokka	1.0
Aang	2.0
Sokka	3.0
Toph	5.0
Aang	1.0
Sokka	5.0
Hama	2.0
Aang	10.0
Sokka	3.0
Haru	1.0
Aang	2.0
Sokka	3.0
Aang	1.0
Appa	1.0
Both	1.0
Zuko	1.0
Sokka	2.0
Toph	3.0
Aang	3.0
Appa	1.0
Aang	1.0
Sokka	1.0
Zuko	2.0
Aang	2.0
Jet	1.0
Appa	1.0
Mother	1.0
Aang	4.0
Sokka	1.0
Toph	1.0
Zuko	3.0
Azula	1.0
Momo	1.0
Sokka	1.0
Aang	6.0
Appa	1.0
Iroh	1.0
Pakku	1.0
Aang	2.0
Zuko	1.0
General	1.0
Aang	1.0
Zuko	2.0
Azula	2.0
