target	value
Suki	2.0
Zuko	1.0
Momo	1.0
Lee	1.0
Toph	3.0
Katara	9.0
Katara	5.0
All	1.0
Aang	1.0
Katara	4.0
Aang	4.0
Gyatso	1.0
Katara	1.0
Suki	1.0
All	1.0
Aang	2.0
Aang	1.0
Appa	1.0
Katara	3.0
Haru	2.0
Everyone	1.0
Momo	1.0
Aang	4.0
Aang	3.0
Aang	1.0
Momo	1.0
Appa	1.0
Shyu	1.0
Bumi	1.0
Aang	2.0
Momo	2.0
Katara	4.0
Aang	1.0
Zuko	1.0
Jet	7.0
Man	1.0
Katara	2.0
Jin	4.0
All	1.0
Momo	1.0
Katara	1.0
Aang	2.0
Appa	2.0
All	1.0
Aang	2.0
Man	1.0
Everyone	1.0
Bato	3.0
Katara	5.0
Aang	8.0
Appa	1.0
Katara	2.0
Aang	1.0
Boy	1.0
Katara	1.0
Sokka	2.0
Aang	1.0
Yue	3.0
Appa	1.0
Hahn	1.0
Zuko	1.0
Katara	1.0
Zhao	2.0
Yue	2.0
Appa	2.0
Aang	1.0
Zuko	2.0
Katara	1.0
Aang	3.0
Katara	1.0
Moku	1.0
All	1.0
Everyone	1.0
Chong	1.0
Bumi	1.0
Aang	1.0
Hue	1.0
Katara	1.0
Sokka	1.0
Momo	2.0
Aang	3.0
Yue	2.0
Appa	4.0
Suki	1.0
Everyone	1.0
Katara	1.0
Roku	1.0
Momo	1.0
Aang	1.0
Man	1.0
Boulder	3.0
Aang	3.0
Toph	1.0
Katara	2.0
Momo	1.0
Appa	4.0
Toph	2.0
Aang	6.0
Sokka	2.0
Toph	1.0
Katara	2.0
Sozin	1.0
Sokka	1.0
Aang	2.0
Momo	1.0
Yue	1.0
Momo	1.0
Appa	1.0
Toph	1.0
Suki	4.0
Appa	1.0
Toph	2.0
Lee	1.0
Katara	1.0
Gang	1.0
Toph	1.0
Aang	5.0
Appa	1.0
Aang	2.0
Momo	1.0
Pao	1.0
Sokka	2.0
All	1.0
Jet	1.0
Katara	2.0
Li	1.0
Toph	2.0
Appa	3.0
Suki	2.0
Guru	1.0
Li	3.0
Toph	1.0
Aang	2.0
Appa	2.0
Guru	1.0
Suki	2.0
All	1.0
Zuko	1.0
Azula	1.0
Katara	3.0
General	1.0
Iroh	1.0
Toph	1.0
Aang	3.0
Pipsqueak	1.0
Duke	1.0
Aang	3.0
Headmaster	1.0
Aang	2.0
Katara	2.0
Dock	2.0
All	1.0
Appa	2.0
All	1.0
Sokka	2.0
Toph	1.0
Katara	6.0
Sokka	1.0
Toph	4.0
Aang	1.0
Appa	2.0
Man	2.0
Katara	1.0
Toph	1.0
Momo	1.0
Hama	3.0
Aang	1.0
Appa	1.0
Katara	3.0
Haru	1.0
Aang	5.0
Suki	2.0
Everyone	1.0
Aang	1.0
Azula	1.0
Toph	1.0
All	1.0
Aang	3.0
Zuko	2.0
Appa	1.0
Man	1.0
Zuko	1.0
Suki	3.0
Boy	1.0
All	1.0
Zuko	3.0
Bato	1.0
Suki	1.0
Sokka	1.0
Warden	5.0
Zuko	4.0
Suki	1.0
Zuko	2.0
Katara	3.0
Momo	1.0
Mother	1.0
Aang	1.0
Suki	2.0
Boy	1.0
Azula	1.0
Katara	1.0
Sokka	2.0
Man	1.0
Suki	3.0
Zuko	4.0
Katara	1.0
Momo	2.0
Toph	1.0
Aang	7.0
Appa	3.0
Pakku	1.0
Bumi	1.0
Aang	3.0
Piandao	1.0
Suki	2.0
Ozai	1.0
Everyone	1.0
Aang	3.0
Toph	1.0
Captain	1.0
