target	value
Captain	1.0
Boulder	1.0
Aang	1.0
Katara	2.0
Aang	1.0
Sokka	2.0
Zuko	1.0
Katara	2.0
Aang	1.0
Appa	1.0
Katara	1.0
Appa	1.0
Sokka	3.0
Toph	2.0
Everyone	1.0
Katara	2.0
Katara	2.0
Appa	1.0
Sokka	1.0
Sokka	1.0
Toph	1.0
Li	1.0
Guru	1.0
Aang	1.0
Toph	1.0
Everyone	1.0
Sokka	1.0
Sokka	2.0
Aang	1.0
Katara	9.0
Everyone	1.0
Sokka	1.0
Aang	2.0
Man	1.0
Man	1.0
Sokka	1.0
Sokka	1.0
Azula	1.0
Katara	1.0
All	1.0
Aang	1.0
Zuko	1.0
Appa	1.0
Zuko	1.0
All	1.0
Everyone	1.0
Suki	1.0
Everyone	1.0
Zuko	3.0
June	1.0
Sokka	1.0
Toph	1.0
Momo	1.0
Haru	1.0
Aang	1.0
Appa	1.0
Aang	2.0
Captain	1.0
Sokka	1.0
