"time","log.status.actuals","log.status.forecasts"
1,3.36729582998647;3.36729582998647;3.36729582998647,
2,3.36729582998647;3.36729582998647;3.36729582998647,
3,3.43398720448515;3.43398720448515;3.43398720448515,
4,3.43398720448515;3.43398720448515;3.43398720448515,
5,3.43398720448515;3.43398720448515;3.43398720448515,
6,3.43398720448515;3.43398720448515;3.43398720448515,
7,3.43398720448515;3.43398720448515;3.43398720448515,
8,3.43398720448515;3.43398720448515;3.43398720448515,
9,3.43398720448515;3.43398720448515;3.43398720448515,
10,3.43398720448515;3.43398720448515;3.43398720448515,
11,3.43398720448515;3.43398720448515;3.43398720448515,
12,3.43398720448515;3.43398720448515;3.43398720448515,
13,3.40119738166216;3.40119738166216;3.40119738166216,
14,3.40119738166216;3.40119738166216;3.40119738166216,
15,3.40119738166216;3.40119738166216;3.40119738166216,
16,3.40119738166216;3.40119738166216;3.40119738166216,
17,3.40119738166216;3.40119738166216;3.40119738166216,
18,3.40119738166216;3.40119738166216;3.40119738166216,
19,3.43398720448515;3.43398720448515;3.43398720448515,
20,3.43398720448515;3.43398720448515;3.43398720448515,
21,3.43398720448515;3.43398720448515;3.43398720448515,
22,3.43398720448515;3.43398720448515;3.43398720448515,
23,3.40119738166216;3.40119738166216;3.40119738166216,
24,3.40119738166216;3.40119738166216;3.40119738166216,
25,3.40119738166216;3.40119738166216;3.40119738166216,
26,3.40119738166216;3.40119738166216;3.40119738166216,
27,3.40119738166216;3.40119738166216;3.40119738166216,
28,3.40119738166216;3.40119738166216;3.40119738166216,
29,3.40119738166216;3.40119738166216;3.40119738166216,
30,3.43398720448515;3.43398720448515;3.43398720448515,
31,3.43398720448515;3.43398720448515;3.43398720448515,
32,3.43398720448515;3.43398720448515;3.43398720448515,
33,3.43398720448515;3.43398720448515;3.43398720448515,
34,3.43398720448515;3.43398720448515;3.43398720448515,
35,3.43398720448515;3.43398720448515;3.43398720448515,
36,3.43398720448515;3.43398720448515;3.43398720448515,
37,3.43398720448515;3.43398720448515;3.43398720448515,
38,3.46573590279973;3.46573590279973;3.46573590279973,
39,3.46573590279973;3.46573590279973;3.46573590279973,
40,3.43398720448515;3.43398720448515;3.43398720448515,
41,3.43398720448515;3.43398720448515;3.43398720448515,
42,3.43398720448515;3.43398720448515;3.43398720448515,
43,3.43398720448515;3.43398720448515;3.43398720448515,
44,3.43398720448515;3.43398720448515;3.43398720448515,
45,3.43398720448515;3.43398720448515;3.43398720448515,
46,3.49650756146648;3.49650756146648;3.49650756146648,
47,3.49650756146648;3.49650756146648;3.49650756146648,
48,3.46573590279973;3.46573590279973;3.46573590279973,
49,3.46573590279973;3.46573590279973;3.46573590279973,
50,3.46573590279973;3.46573590279973;3.46573590279973,
51,3.46573590279973;3.46573590279973;3.46573590279973,
52,3.46573590279973;3.46573590279973;3.46573590279973,
53,3.46573590279973;3.46573590279973;3.46573590279973,
54,3.46573590279973;3.46573590279973;3.46573590279973,
55,3.46573590279973;3.46573590279973;3.46573590279973,
56,3.46573590279973;3.46573590279973;3.46573590279973,
57,3.46573590279973;3.46573590279973;3.46573590279973,
58,3.46573590279973;3.46573590279973;3.46573590279973,
59,3.46573590279973;3.46573590279973;3.46573590279973,
60,3.43398720448515;3.43398720448515;3.43398720448515,
61,3.43398720448515;3.43398720448515;3.43398720448515,
62,3.43398720448515;3.43398720448515;3.43398720448515,
63,3.43398720448515;3.43398720448515;3.43398720448515,
64,3.43398720448515;3.43398720448515;3.43398720448515,
65,3.43398720448515;3.43398720448515;3.43398720448515,
66,3.43398720448515;3.43398720448515;3.43398720448515,
67,3.43398720448515;3.43398720448515;3.43398720448515,
68,3.43398720448515;3.43398720448515;3.43398720448515,
69,3.43398720448515;3.43398720448515;3.43398720448515,
70,3.43398720448515;3.43398720448515;3.43398720448515,
71,3.43398720448515;3.43398720448515;3.43398720448515,
72,3.43398720448515;3.43398720448515;3.43398720448515,
73,3.43398720448515;3.43398720448515;3.43398720448515,
74,3.43398720448515;3.43398720448515;3.43398720448515,
75,3.43398720448515;3.43398720448515;3.43398720448515,
76,3.43398720448515;3.43398720448515;3.43398720448515,
77,3.43398720448515;3.43398720448515;3.43398720448515,
78,3.43398720448515;3.43398720448515;3.43398720448515,
79,3.43398720448515;3.43398720448515;3.43398720448515,
80,3.43398720448515;3.43398720448515;3.43398720448515,
81,3.43398720448515;3.43398720448515;3.43398720448515,
82,3.43398720448515;3.43398720448515;3.43398720448515,
83,3.43398720448515;3.43398720448515;3.43398720448515,
84,3.43398720448515;3.43398720448515;3.43398720448515,
85,3.43398720448515;3.43398720448515;3.43398720448515,
86,3.43398720448515;3.43398720448515;3.43398720448515,
87,3.43398720448515;3.43398720448515;3.43398720448515,
88,3.43398720448515;3.43398720448515;3.43398720448515,
89,3.36729582998647;3.36729582998647;3.36729582998647,
90,3.36729582998647;3.36729582998647;3.36729582998647,
91,3.36729582998647;3.36729582998647;3.36729582998647,
92,3.36729582998647;3.36729582998647;3.36729582998647,
93,3.36729582998647;3.36729582998647;3.36729582998647,
94,3.36729582998647;3.36729582998647;3.36729582998647,
95,3.36729582998647;3.36729582998647;3.36729582998647,
96,3.36729582998647;3.36729582998647;3.36729582998647,
97,3.36729582998647;3.36729582998647;3.36729582998647,
98,3.36729582998647;3.36729582998647;3.36729582998647,
99,3.36729582998647;3.36729582998647;3.36729582998647,
100,3.36729582998647;3.36729582998647;3.36729582998647,
101,3.36729582998647;3.36729582998647;3.36729582998647,
102,3.36729582998647;3.36729582998647;3.36729582998647,
103,3.36729582998647;3.36729582998647;3.36729582998647,
104,3.36729582998647;3.36729582998647;3.36729582998647,
105,3.36729582998647;3.36729582998647;3.36729582998647,
106,3.36729582998647;3.36729582998647;3.36729582998647,
107,3.36729582998647;3.36729582998647;3.36729582998647,
108,3.36729582998647;3.36729582998647;3.36729582998647,
109,3.36729582998647;3.36729582998647;3.36729582998647,
110,3.36729582998647;3.36729582998647;3.36729582998647,
111,3.36729582998647;3.36729582998647;3.36729582998647,
112,3.36729582998647;3.36729582998647;3.36729582998647,
113,3.29583686600433;3.29583686600433;3.29583686600433,
114,3.29583686600433;3.29583686600433;3.29583686600433,
115,3.29583686600433;3.29583686600433;3.29583686600433,
116,3.3322045101752;3.3322045101752;3.3322045101752,
117,3.3322045101752;3.3322045101752;3.3322045101752,
118,3.3322045101752;3.3322045101752;3.3322045101752,
119,3.3322045101752;3.3322045101752;3.3322045101752,
120,3.3322045101752;3.3322045101752;3.3322045101752,
121,3.3322045101752;3.3322045101752;3.3322045101752,
122,3.3322045101752;3.3322045101752;3.3322045101752,
123,3.3322045101752;3.3322045101752;3.3322045101752,
124,3.3322045101752;3.3322045101752;3.3322045101752,
125,3.3322045101752;3.3322045101752;3.3322045101752,
126,3.3322045101752;3.3322045101752;3.3322045101752,
127,3.3322045101752;3.3322045101752;3.3322045101752,
128,3.29583686600433;3.29583686600433;3.29583686600433,
129,3.29583686600433;3.29583686600433;3.29583686600433,
130,3.29583686600433;3.29583686600433;3.29583686600433,
131,3.29583686600433;3.29583686600433;3.29583686600433,
132,3.29583686600433;3.29583686600433;3.29583686600433,
133,3.29583686600433;3.29583686600433;3.29583686600433,
134,3.25809653802148;3.25809653802148;3.25809653802148,
135,3.25809653802148;3.25809653802148;3.25809653802148,
136,3.25809653802148;3.25809653802148;3.25809653802148,
137,3.25809653802148;3.25809653802148;3.25809653802148,
138,3.25809653802148;3.25809653802148;3.25809653802148,
139,3.25809653802148;3.25809653802148;3.25809653802148,
140,3.25809653802148;3.25809653802148;3.25809653802148,
141,3.25809653802148;3.25809653802148;3.25809653802148,
142,3.2188758248682;3.2188758248682;3.2188758248682,
143,3.17805383034795;3.17805383034795;3.17805383034795,
144,3.17805383034795;3.17805383034795;3.17805383034795,
145,3.17805383034795;3.17805383034795;3.17805383034795,
146,3.17805383034795;3.17805383034795;3.17805383034795,
147,3.17805383034795;3.17805383034795;3.17805383034795,
148,3.17805383034795;3.17805383034795;3.17805383034795,
149,3.13549421592915;3.13549421592915;3.13549421592915,
150,3.13549421592915;3.13549421592915;3.13549421592915,
151,3.13549421592915;3.13549421592915;3.13549421592915,
152,3.13549421592915;3.13549421592915;3.13549421592915,
153,3.13549421592915;3.13549421592915;3.13549421592915,
